"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6487202;7503254;"(1665, 2, 8)";7740961;"(1665, 1, 1)"
6487146;7503205;"(1672, 7, 8)";7740912;"(1672, 1, 1)"
6487159;7503258;"(1669, 1, 1)";7740965;"(1669, 1, 1)"
6487326;7503366;"(1663, 1, 1)";7741073;"(1663, 1, 1)"
6487253;7503300;"(1675, 1, 1)";7741007;"(1675, 1, 1)"
6487341;7503379;"(1681, 1, 1)";7741086;"(1681, 1, 1)"
6487275;7503320;"(1674, 4, 22)";7741027;"(1674, 1, 1)"
6487268;7503313;"(1679, 1, 9)";7741020;"(1679, 1, 1)"
6487319;7503359;"(1675, 1, 1)";7741066;"(1675, 1, 1)"
6487349;7503386;"(1677, 1, 1)";7741093;"(1677, 1, 1)"
6487305;7503345;"(1678, 5, 17)";7741052;"(1678, 1, 1)"
6487363;7503398;"(1666, 11, 9)";7741105;"(1666, 1, 1)"
6487365;7503400;"(1677, 1, 1)";7741107;"(1677, 1, 1)"
6487375;7503409;"(1672, 1, 1)";7741116;"(1672, 1, 1)"
6487382;7503414;"(1682, 1, 1)";7741121;"(1682, 1, 1)"
6487534;7503552;"(1666, 8, 10)";7741259;"(1666, 1, 1)"
6487434;7503460;"(1666, 8, 6)";7741167;"(1666, 1, 1)"
6487495;7503515;"(1674, 1, 19)";7741222;"(1674, 1, 1)"
6487496;7503516;"(1676, 1, 1)";7741223;"(1676, 1, 1)"
6487573;7503591;"(1682, 7, 3)";7741298;"(1682, 1, 1)"
6487594;7503611;"(1669, 11, 19)";7741318;"(1669, 1, 1)"
6487595;7503612;"(1665, 1, 23)";7741319;"(1665, 1, 1)"
6487597;7503614;"(1668, 7, 1)";7741321;"(1668, 1, 1)"
6487603;7503620;"(1678, 1, 1)";7741327;"(1678, 1, 1)"
6487623;7503640;"(1672, 2, 6)";7741347;"(1672, 1, 1)"
6487654;7503670;"(1674, 7, 22)";7741377;"(1674, 1, 1)"
6487655;7503671;"(1668, 6, 18)";7741378;"(1668, 1, 1)"
6487669;7503684;"(1675, 1, 1)";7741391;"(1675, 1, 1)"
6487674;7503690;"(1669, 1, 1)";7741397;"(1669, 1, 1)"
6487681;7503697;"(1674, 1, 1)";7741404;"(1674, 1, 1)"
6487727;7503738;"(1677, 1, 1)";7741445;"(1677, 1, 1)"
6487702;7503715;"(1674, 1, 1)";7741422;"(1674, 1, 1)"
6487703;7503716;"(1672, 3, 25)";7741423;"(1672, 1, 1)"
6487707;7503720;"(1675, 1, 1)";7741427;"(1675, 1, 1)"
6487733;7503742;"(1668, 1, 1)";7741449;"(1668, 1, 1)"
6487738;7503747;"(1664, 8, 21)";7741454;"(1664, 1, 1)"
6487755;7503762;"(1664, 3, 31)";7741469;"(1664, 1, 1)"
6487776;7503783;"(1662, 5, 25)";7741490;"(1662, 1, 1)"
6487756;7503763;"(1672, 11, 6)";7741470;"(1672, 1, 1)"
6487807;7503810;"(1681, 1, 1)";7741517;"(1681, 1, 1)"
6487910;7503901;"(1664, 1, 6)";7741608;"(1664, 1, 1)"
6487945;7503935;"(1677, 2, 7)";7741642;"(1677, 1, 1)"
6487957;7503948;"(1673, 1, 1)";7741655;"(1673, 1, 1)"
6487953;7503943;"(1672, 1, 1)";7741650;"(1672, 1, 1)"
6488053;7504042;"(1670, 8, 5)";7741749;"(1670, 1, 1)"
6488022;7504011;"(1683, 1, 1)";7741718;"(1683, 1, 1)"
6488030;7504018;"(1680, 1, 1)";7741725;"(1680, 1, 1)"
6488098;7504083;"(1678, 1, 1)";7741790;"(1678, 1, 1)"
6488134;7504119;"(1672, 1, 1)";7741826;"(1672, 1, 1)"
6488144;7504129;"(1681, 1, 1)";7741836;"(1681, 1, 1)"
6488126;7504111;"(1679, 1, 1)";7741818;"(1679, 1, 1)"
6488184;7504169;"(1679, 10, 8)";7741876;"(1679, 1, 1)"
6488215;7504197;"(1674, 1, 1)";7741904;"(1674, 1, 1)"
6488216;7504198;"(1676, 1, 1)";7741905;"(1676, 1, 1)"
6488258;7504237;"(1682, 1, 1)";7741944;"(1682, 1, 1)"
6488263;7504241;"(1676, 1, 1)";7741948;"(1676, 1, 1)"
6488243;7504222;"(1679, 6, 10)";7741929;"(1679, 1, 1)"
6488245;7504224;"(1678, 2, 19)";7741931;"(1678, 1, 1)"
6488299;7504275;"(1678, 1, 1)";7741982;"(1678, 1, 1)"
6488329;7504300;"(1664, 3, 11)";7742007;"(1664, 1, 1)"
6488336;7504307;"(1682, 1, 1)";7742014;"(1682, 1, 1)"
6488432;7504391;"(1672, 1, 1)";7742098;"(1672, 1, 1)"
6488375;7504342;"(1673, 1, 1)";7742049;"(1673, 1, 1)"
6488381;7504347;"(1674, 8, 9)";7742054;"(1674, 1, 1)"
6488454;7504410;"(1675, 1, 1)";7742117;"(1675, 1, 1)"
6488495;7504445;"(1674, 10, 19)";7742152;"(1674, 1, 1)"
6488481;7504433;"(1672, 1, 1)";7742140;"(1672, 1, 1)"
6488519;7504466;"(1672, 1, 31)";7742173;"(1672, 1, 1)"
6488718;7504644;"(1680, 11, 8)";7742351;"(1680, 1, 1)"
6488584;7504525;"(1675, 1, 1)";7742232;"(1675, 1, 1)"
6488664;7504596;"(1683, 5, 12)";7742303;"(1683, 1, 1)"
6488666;7504598;"(1669, 1, 1)";7742305;"(1669, 1, 1)"
6488678;7504608;"(1673, 1, 1)";7742315;"(1673, 1, 1)"
6488679;7504609;"(1680, 1, 1)";7742316;"(1680, 1, 1)"
6488685;7504614;"(1674, 1, 1)";7742321;"(1674, 1, 1)"
6488720;7504646;"(1674, 1, 1)";7742353;"(1674, 1, 1)"
6488721;7504647;"(1679, 1, 1)";7742354;"(1679, 1, 1)"
